id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,filename,link,image_path
23269,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Maxima Ssteele Men White Watch,23269.jpg,http://assets.myntassets.com/v1/images/style/properties/f761407f96797325d894bc0289ca6f60_images.jpg,/content/drive/MyDrive/project_ml_uas/images/23269.jpg
15933,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Regent Polo Club Men Solid Blue Tshirt,15933.jpg,http://assets.myntassets.com/v1/images/style/properties/df007be333b00d9684b00a8031e33a62_images.jpg,/content/drive/MyDrive/project_ml_uas/images/15933.jpg
9996,Women,Apparel,Topwear,Tops,Blue,Summer,2011.0,Casual,Palm Tree Girls Sp Jelly Top Blue Tops,9996.jpg,http://assets.myntassets.com/v1/images/style/properties/0585156c7f7c6c298a10a1e121d02b4c_images.jpg,/content/drive/MyDrive/project_ml_uas/images/9996.jpg
3601,Unisex,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Sports,Puma Deccan Chargers Kids Navy Blue Lookalike Jersey,3601.jpg,http://assets.myntassets.com/v1/images/style/properties/Puma-Deccan-Chargers-Kids-Navy-Blue-Lookalike-Jersey_af5ba720065143ebf9f13c0b56977cdd_images.jpg,/content/drive/MyDrive/project_ml_uas/images/3601.jpg
38971,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Arrow New York Men Grey T-shirt,38971.jpg,http://assets.myntassets.com/v1/images/style/properties/bb447aced3ee382ccdee165f9a4ed772_images.jpg,/content/drive/MyDrive/project_ml_uas/images/38971.jpg
25826,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012.0,Ethnic,Diva Women Printed Brown Kurta,25826.jpg,http://assets.myntassets.com/v1/images/style/properties/d9ba470d3c504b598d2b3a95faecd12e_images.jpg,/content/drive/MyDrive/project_ml_uas/images/25826.jpg
14362,Women,Footwear,Shoes,Heels,Beige,Winter,2015.0,Casual,Catwalk Women Casual Beige Flats,14362.jpg,http://assets.myntassets.com/v1/images/style/properties/c097bda15536e2ac1e605a6f3bd51e6b_images.jpg,/content/drive/MyDrive/project_ml_uas/images/14362.jpg
21729,Women,Footwear,Flip Flops,Flip Flops,Orange,Fall,2010.0,Casual,ADIDAS Women Dota and Stripes Orange Flip Flops,21729.jpg,http://assets.myntassets.com/v1/images/style/properties/d939c85be1f809155a36b8da9096877c_images.jpg,/content/drive/MyDrive/project_ml_uas/images/21729.jpg
19615,Women,Apparel,Topwear,Tops,Olive,Summer,2011.0,Casual,United Colors of Benetton Women Solid Olive Top,19615.jpg,http://assets.myntassets.com/v1/images/style/properties/4aacf24c5ae9b5179d467e4cdc76ff59_images.jpg,/content/drive/MyDrive/project_ml_uas/images/19615.jpg
4354,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Superman Men's Distressed Logo All-Over Blue T-shirt,4354.jpg,http://assets.myntassets.com/v1/images/style/properties/d771d32c3d8d172d8674075088e97a46_images.jpg,/content/drive/MyDrive/project_ml_uas/images/4354.jpg
29507,Women,Accessories,Watches,Watches,Blue,Winter,2016.0,Casual,Giordano Women Blue Dial Watch,29507.jpg,http://assets.myntassets.com/v1/images/style/properties/9c0315ada2220591e04bbd0eedaaea77_images.jpg,/content/drive/MyDrive/project_ml_uas/images/29507.jpg
6502,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2018.0,Formal,Red Tape Men Black Formal Shoes,6502.jpg,http://assets.myntassets.com/v1/images/style/properties/Red-Tape-Men-Black-Formal-Shoes_f162b84ed06af6f7d4e4fcbec5a0801d_images.jpg,/content/drive/MyDrive/project_ml_uas/images/6502.jpg
6089,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,UCB Women's Photographic Print Pink T-shirt,6089.jpg,http://assets.myntassets.com/v1/images/style/properties/997aca623e776f571be9eb780cdafe6a_images.jpg,/content/drive/MyDrive/project_ml_uas/images/6089.jpg
15393,Men,Footwear,Flip Flops,Flip Flops,Navy Blue,Summer,2013.0,Casual,Fila Men Hawai Navy Blue Flip Flops,15393.jpg,http://assets.myntassets.com/v1/images/style/properties/f1a00469a5c93168b71e910a3aec375b_images.jpg,/content/drive/MyDrive/project_ml_uas/images/15393.jpg
27874,Women,Apparel,Topwear,Shirts,Black,Summer,2012.0,Casual,Scullers For Her Striped Black Shirt,27874.jpg,http://assets.myntassets.com/v1/images/style/properties/e539b7afde647520266f1a101955d0ea_images.jpg,/content/drive/MyDrive/project_ml_uas/images/27874.jpg
34762,Women,Accessories,Bags,Handbags,Orange,Summer,2015.0,Casual,Be For Bag Women Orange Bag,34762.jpg,http://assets.myntassets.com/v1/images/style/properties/de15e2e995266100ebaed6a7ea31a6af_images.jpg,/content/drive/MyDrive/project_ml_uas/images/34762.jpg
53318,Men,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Locomotive Men Red T-shirt,53318.jpg,http://assets.myntassets.com/v1/images/style/properties/d19d444d499024f65f1ae11270c18e39_images.jpg,/content/drive/MyDrive/project_ml_uas/images/53318.jpg
37657,Men,Accessories,Socks,Socks,White,Summer,2016.0,Casual,Playboy Men White Socks,37657.jpg,http://assets.myntassets.com/v1/images/style/properties/7a85fb57741beab52232fddf9d2aa32d_images.jpg,/content/drive/MyDrive/project_ml_uas/images/37657.jpg
15074,Men,Footwear,Sandal,Sandals,Brown,Summer,2012.0,Casual,Ganuchi Men Brown Sandal,15074.jpg,http://assets.myntassets.com/v1/images/style/properties/b82fd6643b45b32c000acc7c41da45e5_images.jpg,/content/drive/MyDrive/project_ml_uas/images/15074.jpg
12644,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Probase Men Solid White Polo T-shirts,12644.jpg,http://assets.myntassets.com/v1/images/style/properties/6ace3d97b87a59b23826a94ceef36b91_images.jpg,/content/drive/MyDrive/project_ml_uas/images/12644.jpg
57437,Women,Apparel,Topwear,Tshirts,Off White,Summer,2015.0,Casual,Angry Birds Women Off White T-shirt,57437.jpg,http://assets.myntassets.com/v1/images/style/properties/Angry-Birds-Women-Off-White-T-shirt_6882fc2467cb172ca15fdc04f444abf3_images.jpg,/content/drive/MyDrive/project_ml_uas/images/57437.jpg
4186,Girls,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,Disney Kids Girls Navy Stripes Mickey Kidswear,4186.jpg,http://assets.myntassets.com/v1/images/style/properties/9bcd06248e63e2cda01afb434bdb678e_images.jpg,/content/drive/MyDrive/project_ml_uas/images/4186.jpg
33446,Women,Accessories,Wallets,Wallets,Red,Summer,2012.0,Casual,Baggit Women Samson Lisa Red Wallet,33446.jpg,http://assets.myntassets.com/v1/images/style/properties/c70b78bd09c825a8bd2b7edf9ce79348_images.jpg,/content/drive/MyDrive/project_ml_uas/images/33446.jpg
40528,Men,Accessories,Watches,Watches,White,Summer,2017.0,Formal,Titan Men White Dial Watch NB1956YL02,40528.jpg,http://assets.myntassets.com/v1/images/style/properties/25de793ebfeae19ad56eb89d39a482da_images.jpg,/content/drive/MyDrive/project_ml_uas/images/40528.jpg
36410,Men,Accessories,Socks,Socks,Black,Summer,2016.0,Casual,Reid & Taylor Men Black Socks,36410.jpg,http://assets.myntassets.com/v1/images/style/properties/e1ba4b7b11e15f9e7adb07e8d0197fb2_images.jpg,/content/drive/MyDrive/project_ml_uas/images/36410.jpg
38490,Boys,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Gini and Jony Boys Pack Of Two White T-shirt,38490.jpg,http://assets.myntassets.com/v1/images/style/properties/35c19a57420dcf9f9c596b5b843042b9_images.jpg,/content/drive/MyDrive/project_ml_uas/images/38490.jpg
40547,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Titan Women Silver Watch,40547.jpg,http://assets.myntassets.com/v1/images/style/properties/6999a24bc105fe8eac1cafad7f03e557_images.jpg,/content/drive/MyDrive/project_ml_uas/images/40547.jpg
37785,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,John Players Men Gingham Blue Shirt,37785.jpg,http://assets.myntassets.com/v1/images/style/properties/4e0585407c4f310d0717ee23f7b926a9_images.jpg,/content/drive/MyDrive/project_ml_uas/images/37785.jpg
25452,Men,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,Nike Men Prowl White Casual Shoes,25452.jpg,http://assets.myntassets.com/v1/images/style/properties/12a40be5f35a5664674276d1dde5a977_images.jpg,/content/drive/MyDrive/project_ml_uas/images/25452.jpg
59696,Women,Apparel,Innerwear,Briefs,Cream,Summer,2014.0,Casual,Avirate Cream Brief,59696.jpg,http://assets.myntassets.com/v1/images/style/properties/Avirate-Cream-Brief_ac380d128249b31084a5151d02e1d6e4_images.jpg,/content/drive/MyDrive/project_ml_uas/images/59696.jpg
25532,Men,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Wrangler Men Benefica Purple Shirt,25532.jpg,http://assets.myntassets.com/v1/images/style/properties/6d918cb105453e5f889040d2883c8cb9_images.jpg,/content/drive/MyDrive/project_ml_uas/images/25532.jpg
4259,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Inkfruit Men's Uni Grey T-shirt,4259.jpg,http://assets.myntassets.com/v1/images/style/properties/77e9e0c0a82322e292c09aff9bab1d90_images.jpg,/content/drive/MyDrive/project_ml_uas/images/4259.jpg
59015,Men,Footwear,Shoes,Sports Shoes,Grey,Summer,2012.0,Sports,Skechers Men Grey Sports Shoes,59015.jpg,http://assets.myntassets.com/v1/images/style/properties/Skechers-Men-Grey-Sports-Shoes_f7d6a3f1193b1ee392ee341cfcae317f_images.jpg,/content/drive/MyDrive/project_ml_uas/images/59015.jpg
3821,Unisex,Footwear,Flip Flops,Flip Flops,Brown,Summer,2011.0,Casual,Crocs Unisex Modi Flip Khaki Sky Blue Flip Flop,3821.jpg,http://assets.myntassets.com/v1/images/style/properties/cf7bb0a4d1f919924e80e0ea0020edd5_images.jpg,/content/drive/MyDrive/project_ml_uas/images/3821.jpg
30144,Women,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Flying Machine Women Printed Black T-shirt,30144.jpg,http://assets.myntassets.com/v1/images/style/properties/b67b21ab273e10b3af1f789d79d0f566_images.jpg,/content/drive/MyDrive/project_ml_uas/images/30144.jpg
11861,Men,Footwear,Flip Flops,Flip Flops,Brown,Fall,2012.0,Casual,Playboy Men Casual Brown Slippers,11861.jpg,http://assets.myntassets.com/v1/images/style/properties/ea1e218ace79112b12ab6eb2a23a44cc_images.jpg,/content/drive/MyDrive/project_ml_uas/images/11861.jpg
51318,Unisex,Accessories,Bags,Backpacks,Blue,Summer,2015.0,Casual,Wildcraft Unisex Blue Cauvery Backpack,51318.jpg,http://assets.myntassets.com/v1/images/style/properties/Wildcraft-Unisex-Blue-Cauvery-Backpack_5fce2379039b11094fec0172e1b4eb52_images.jpg,/content/drive/MyDrive/project_ml_uas/images/51318.jpg
36703,Men,Personal Care,Fragrance,Perfume and Body Mist,Black,Spring,2017.0,Casual,Yves Saint Laurent Men Body Kouros Perfume,36703.jpg,http://assets.myntassets.com/v1/images/style/properties/0dc52bf17cec9751b137d9c967afb785_images.jpg,/content/drive/MyDrive/project_ml_uas/images/36703.jpg
17191,Men,Apparel,Topwear,Shirts,Blue,Winter,2016.0,Casual,U.S. Polo Assn. Men Checks  Blue Shirt,17191.jpg,http://assets.myntassets.com/v1/images/style/properties/e8530421e0a333a5fd0a0d62cefec265_images.jpg,/content/drive/MyDrive/project_ml_uas/images/17191.jpg
11243,Women,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Flying Machine Women Lowrise Blue Jeans,11243.jpg,http://assets.myntassets.com/v1/images/style/properties/b74d8ee664fc78e3bf6d54004cd7252c_images.jpg,/content/drive/MyDrive/project_ml_uas/images/11243.jpg
44726,Women,Footwear,Flip Flops,Flip Flops,Grey,Summer,2010.0,Casual,Lotto Women Grey Flip Flop,44726.jpg,http://assets.myntassets.com/v1/images/style/properties/bb696c132737a3f9f9af2a63fe3f0630_images.jpg,/content/drive/MyDrive/project_ml_uas/images/44726.jpg
28903,Women,Apparel,Innerwear,Briefs,Blue,Summer,2012.0,Casual,Enamor Women Blue Brief,28903.jpg,http://assets.myntassets.com/v1/images/style/properties/3528cbbf9e9ae7bd211325bb2ad24d20_images.jpg,/content/drive/MyDrive/project_ml_uas/images/28903.jpg
32414,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,ADIDAS Men Comic White T-shirt,32414.jpg,http://assets.myntassets.com/v1/images/style/properties/32a0f5859bbeb7e4e04cc3c118727d89_images.jpg,/content/drive/MyDrive/project_ml_uas/images/32414.jpg
44125,Women,Personal Care,Fragrance,Perfume and Body Mist,Black,Spring,2017.0,Casual,Hugo Women Deep Red Perfume,44125.jpg,http://assets.myntassets.com/v1/images/style/properties/934d1fdcf50272e7329869954686d482_images.jpg,/content/drive/MyDrive/project_ml_uas/images/44125.jpg
7104,Unisex,Accessories,Bags,Backpacks,Grey,Winter,2015.0,Casual,Wildcraft Unisex Grey Backpack,7104.jpg,http://assets.myntassets.com/v1/images/style/properties/Wildcraft-Unisex-Equinox-Grey-Black-Backpack_745c8071e806c627b065b52e3dfcd5be_images.jpg,/content/drive/MyDrive/project_ml_uas/images/7104.jpg
27286,Women,Apparel,Topwear,Kurtas,Orange,Fall,2011.0,Ethnic,Mother Earth Women Orange Kurta,27286.jpg,http://assets.myntassets.com/v1/images/style/properties/07bf0abc19d1f10efce83433648efce7_images.jpg,/content/drive/MyDrive/project_ml_uas/images/27286.jpg
4759,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Sports,ADIDAS Men's Star Polo Lead Blue T-shirt,4759.jpg,http://assets.myntassets.com/v1/images/style/properties/7af6076300ab522cdeebf3f09131b09b_images.jpg,/content/drive/MyDrive/project_ml_uas/images/4759.jpg
36536,Women,Accessories,Bags,Handbags,Blue,Summer,2012.0,Casual,United Colors of Benetton Women Blue Sling Bag,36536.jpg,http://assets.myntassets.com/v1/images/style/properties/807db6823952f20d542a75afda81ed53_images.jpg,/content/drive/MyDrive/project_ml_uas/images/36536.jpg
42533,Women,Apparel,Topwear,Kurtas,Blue,Fall,2012.0,Ethnic,Mother Earth Women Blue Printed Kurta,42533.jpg,http://assets.myntassets.com/v1/images/style/properties/Mother-Earth-Women-Blue-Kurta_84b6ed93ef6678de59bd55fea4730805_images.jpg,/content/drive/MyDrive/project_ml_uas/images/42533.jpg
36419,Women,Footwear,Shoes,Sports Shoes,Blue,Spring,2013.0,Sports,Spinn Women Alliance Blue Sports Shoes,36419.jpg,http://assets.myntassets.com/v1/images/style/properties/4209e4c2002cc5f904e83b755675e846_images.jpg,/content/drive/MyDrive/project_ml_uas/images/36419.jpg
8302,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Reebok Men's Premier Aztrec 3 White Orange Shoe,8302.jpg,http://assets.myntassets.com/v1/images/style/properties/a4bde2745441cbc5a07e2e2a91bb53a8_images.jpg,/content/drive/MyDrive/project_ml_uas/images/8302.jpg
37435,Women,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,Murcia Women Black Handbag,37435.jpg,http://assets.myntassets.com/v1/images/style/properties/fe1c0dac47364f4d551355f08ea6a598_images.jpg,/content/drive/MyDrive/project_ml_uas/images/37435.jpg
25480,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Men City Court VII White Sports Shoes,25480.jpg,http://assets.myntassets.com/v1/images/style/properties/2d70106aae749fd5207162231b72c933_images.jpg,/content/drive/MyDrive/project_ml_uas/images/25480.jpg
43945,Women,Footwear,Shoes,Heels,Brown,Winter,2012.0,Casual,Catwalk Women Brown Heels,43945.jpg,http://assets.myntassets.com/v1/images/style/properties/9638fcd2eaf0e82d96c2d002f7b31635_images.jpg,/content/drive/MyDrive/project_ml_uas/images/43945.jpg
15606,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Nike Men Training Grey Tshirts,15606.jpg,http://assets.myntassets.com/v1/images/style/properties/d121b105a973f799786f05ba97b24f82_images.jpg,/content/drive/MyDrive/project_ml_uas/images/15606.jpg
42859,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,French Connection Women Brown Alexandra Handbag,42859.jpg,http://assets.myntassets.com/v1/images/style/properties/4a2e204b5b15df87a096ff6b3bd46daf_images.jpg,/content/drive/MyDrive/project_ml_uas/images/42859.jpg
20192,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Wrangler Men Polo White T-shirt,20192.jpg,http://assets.myntassets.com/v1/images/style/properties/8fa53fcf45171a3045de88095404efd7_images.jpg,/content/drive/MyDrive/project_ml_uas/images/20192.jpg
20369,Men,Apparel,Topwear,Shirts,Red,Summer,2011.0,Casual,United Colors of Benetton Men Check Red Shirt,20369.jpg,http://assets.myntassets.com/v1/images/style/properties/ce2c4b3661175a1203df97faf27c89e5_images.jpg,/content/drive/MyDrive/project_ml_uas/images/20369.jpg
56920,Women,Footwear,Shoes,Heels,Black,Winter,2012.0,Casual,HM Women Black Sandals,56920.jpg,http://assets.myntassets.com/v1/images/style/properties/HM-Women-Black-Sandals_d11d0a375021bb2c6c3e9de48cac20dc_images.jpg,/content/drive/MyDrive/project_ml_uas/images/56920.jpg
8869,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Mark Taylor Men Solid Blue Shirts,8869.jpg,http://assets.myntassets.com/v1/images/style/properties/72dd63506779350b699dba8c9cb563c1_images.jpg,/content/drive/MyDrive/project_ml_uas/images/8869.jpg
12405,Men,Accessories,Socks,Socks,Navy Blue,Summer,2016.0,Formal,Reid & Taylor Men Stripes  Navy Blue Socks,12405.jpg,http://assets.myntassets.com/v1/images/style/properties/0deba9f9fbbea782420b9b42f41071f6_images.jpg,/content/drive/MyDrive/project_ml_uas/images/12405.jpg
3347,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Casual,Myntra Men's Attitude To Impress Me Yellow T-shirt,3347.jpg,http://assets.myntassets.com/v1/images/style/properties/8f4575799df625b212d48e49c38943b8_images.jpg,/content/drive/MyDrive/project_ml_uas/images/3347.jpg
39946,Men,Footwear,Shoes,Casual Shoes,Beige,Summer,2013.0,Casual,Gas Men Sahar Beige Shoes,39946.jpg,http://assets.myntassets.com/v1/images/style/properties/ba7746b92e92d579138ac5bc8625fb12_images.jpg,/content/drive/MyDrive/project_ml_uas/images/39946.jpg
34102,Boys,Apparel,Topwear,Tshirts,Pink,Summer,2012.0,Casual,Doodle Boys Printed Pink T-shirt,34102.jpg,http://assets.myntassets.com/v1/images/style/properties/93b67585c3494e708af7b8688b9827ad_images.jpg,/content/drive/MyDrive/project_ml_uas/images/34102.jpg
26890,Women,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Jealous 21 Women Printed Pink Top,26890.jpg,http://assets.myntassets.com/v1/images/style/properties/188408d7093780e772f4ecf03bdf3d3b_images.jpg,/content/drive/MyDrive/project_ml_uas/images/26890.jpg
24924,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,United Colors of Benetton Women Blue Top,24924.jpg,http://assets.myntassets.com/v1/images/style/properties/26ff98efca3817b80abc7f6391dcddc0_images.jpg,/content/drive/MyDrive/project_ml_uas/images/24924.jpg
52121,Boys,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,Doodle Boys Navy Blue Printed T-Shirt,52121.jpg,http://assets.myntassets.com/v1/images/style/properties/09b29dc38e2411883faadfa83997ebc2_images.jpg,/content/drive/MyDrive/project_ml_uas/images/52121.jpg
31693,Men,Footwear,Shoes,Formal Shoes,Brown,Summer,2012.0,Formal,Ganuchi Men Brown Shoes,31693.jpg,http://assets.myntassets.com/v1/images/style/properties/f0b49a9cc297b4fa6ab22363776cdd98_images.jpg,/content/drive/MyDrive/project_ml_uas/images/31693.jpg
36541,Men,Accessories,Wallets,Wallets,Black,Summer,2012.0,Casual,United Colors of Benetton Men Leather Black Wallet,36541.jpg,http://assets.myntassets.com/v1/images/style/properties/4382c8158f2362e12c11909a8e8c1167_images.jpg,/content/drive/MyDrive/project_ml_uas/images/36541.jpg
23196,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Highlander Men Green Check Shirt,23196.jpg,http://assets.myntassets.com/v1/images/style/properties/fb209af384d0d1af00368397afc12636_images.jpg,/content/drive/MyDrive/project_ml_uas/images/23196.jpg
32638,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Sports,Nike Men Epaulet UV Crew Blue T-shirt,32638.jpg,http://assets.myntassets.com/v1/images/style/properties/33a073cd0e145427929fffda8903e07b_images.jpg,/content/drive/MyDrive/project_ml_uas/images/32638.jpg
5599,Men,Footwear,Sandal,Sandals,Black,Summer,2011.0,Sports,Reebok Men's Trail Surpant Black Orange Shoe,5599.jpg,http://assets.myntassets.com/v1/images/style/properties/17c01fc1d48210683a275411baf89b55_images.jpg,/content/drive/MyDrive/project_ml_uas/images/5599.jpg
11567,Women,Apparel,Topwear,Kurtas,Purple,Summer,2011.0,Ethnic,W Women Printed Purple Kurtas,11567.jpg,http://assets.myntassets.com/v1/images/style/properties/a2e89e6e0a94853353fac71399fcc68c_images.jpg,/content/drive/MyDrive/project_ml_uas/images/11567.jpg
17265,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,U.S. Polo Assn. Men Solid Limoges Polo Tshirt,17265.jpg,http://assets.myntassets.com/v1/images/style/properties/98e52ea27292c338d86504c024cd19f5_images.jpg,/content/drive/MyDrive/project_ml_uas/images/17265.jpg
8076,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,ADIDAS Men 3 Series Light White Sports Shoes,8076.jpg,http://assets.myntassets.com/v1/images/style/properties/86a7a3751cd445c5cdd732ef09f33680_images.jpg,/content/drive/MyDrive/project_ml_uas/images/8076.jpg
34221,Men,Apparel,Topwear,Tshirts,Grey,Summer,2013.0,Casual,Proline Grey Polo T-shirt,34221.jpg,http://assets.myntassets.com/v1/images/style/properties/Proline-Men-Grey-Polo-T-shirt_281650af437ad2adc3957346757a21d9_images.jpg,/content/drive/MyDrive/project_ml_uas/images/34221.jpg
